doc_id,ext,bytes_in,chars_raw,chars_clean,status,last_parsed_iso,error,chars_in
rubric,.pdf,273901,11325,,ok,2025-10-23T23:15:20.869296,,11561
readme,.md,5624,5235,,ok,2025-10-23T23:15:20.870971,,5236
etops_5503_50605121425,.pdf,103691,421,,ok,2025-10-23T23:15:20.874771,,453
tasks_now,.txt,230,203,,ok,2025-10-23T23:15:20.873540,,210
subtitle_1,.txt,8447,8447,,ok,2025-10-23T23:15:20.876088,,8447
hydropower_formula_live_demo_html,.html,10706,1392,,ok,2025-10-23T23:15:20.872312,,1568
dei_policy,.md,1530,1454,,ok,2025-10-24T08:10:32.234805,,1494
harassment_policy,.pdf,25116,1259,,ok,2025-10-24T08:10:32.236496,,1332
travel_policy,.md,1631,1543,,ok,2025-10-24T08:10:32.232294,,1588
performance_review_policy,.pdf,26007,944,,ok,2025-10-24T08:10:32.227008,,1023
code_of_conduct,.md,1403,1332,,ok,2025-10-24T08:10:32.235652,,1370
new_text_document,.txt,0,0,,ok,2025-10-24T08:10:32.238945,,0
benefits_overview,.pdf,26619,835,,ok,2025-10-24T08:10:32.243140,,905
dress_code_policy,.txt,944,880,,ok,2025-10-24T08:10:32.233135,,913
internet_usage_policy,.txt,1004,937,,ok,2025-10-24T08:10:32.233956,,972
exit_process,.html,1414,946,,ok,2025-10-24T08:10:32.228904,,987
pto_policy,.md,1258,1199,,ok,2025-10-24T08:10:32.241484,,1222
remote_work_policy,.md,1442,1374,,ok,2025-10-24T08:10:32.244824,,1400
it_security_policy,.html,1308,832,,ok,2025-10-24T08:10:32.229774,,876
expense_policy,.md,1288,1228,,ok,2025-10-24T08:10:32.238168,,1252
onboarding_process,.html,1054,653,,ok,2025-10-24T08:10:32.230612,,686
data_privacy_policy,.html,1170,737,,ok,2025-10-24T08:10:32.240630,,775
meeting_etiquette,.txt,950,885,,ok,2025-10-24T08:10:32.231451,,920
safety_guidelines,.pdf,25994,1070,,ok,2025-10-24T08:10:32.242287,,1140
referral_program,.html,1230,767,,ok,2025-10-24T08:10:32.243960,,810
holiday_calendar,.pdf,25373,968,,ok,2025-10-24T08:10:32.237325,,1043
attendance_policy,.txt,1007,940,,ok,2025-10-24T08:10:32.239766,,975
